Fecha, Voltaje, Corriente, Potencia, Energía, Frecuencia, Factor de Potencia 
2023/6/21 (Miércoles) 2:10:0, 125.90, 9.16, 1050.50, 44.07, 59.80, 0.91
2023/6/21 (Miércoles) 2:15:0, 126.50, 9.05, 1042.40, 44.17, 60.00, 0.91
2023/6/21 (Miércoles) 2:20:0, 126.30, 9.62, 1093.90, 44.26, 60.00, 0.90
2023/6/21 (Miércoles) 2:25:0, 125.70, 9.43, 1066.80, 44.35, 59.90, 0.90
2023/6/21 (Miércoles) 2:30:0, 125.60, 9.37, 1063.10, 44.46, 59.90, 0.90
2023/6/21 (Miércoles) 2:35:0, 125.90, 9.93, 1112.70, 44.54, 60.00, 0.89
2023/6/21 (Miércoles) 2:40:0, 125.80, 9.41, 1065.70, 44.64, 59.90, 0.90
2023/6/21 (Miércoles) 2:45:0, 127.10, 7.88, 920.50, 44.74, 60.00, 0.92
2023/6/21 (Miércoles) 2:50:0, 127.00, 7.90, 922.80, 44.81, 59.90, 0.92
2023/6/21 (Miércoles) 2:55:0, 125.70, 12.14, 1466.60, 44.90, 60.00, 0.96
2023/6/21 (Miércoles) 3:0:0, 127.00, 8.29, 961.50, 44.99, 60.00, 0.91
2023/6/21 (Miércoles) 3:5:0, 127.50, 8.05, 939.40, 45.07, 60.00, 0.92
2023/6/21 (Miércoles) 3:10:0, 126.50, 11.92, 1452.30, 45.16, 59.80, 0.96
2023/6/21 (Miércoles) 3:15:0, 127.70, 7.61, 892.60, 45.24, 59.90, 0.92
2023/6/21 (Miércoles) 3:20:0, 128.20, 7.64, 899.50, 45.32, 60.00, 0.92
2023/6/21 (Miércoles) 3:25:0, 127.50, 8.01, 933.30, 45.41, 60.00, 0.91
2023/6/21 (Miércoles) 3:30:0, 127.70, 8.43, 974.20, 45.49, 60.00, 0.90
2023/6/21 (Miércoles) 3:35:0, 127.90, 8.04, 940.40, 45.56, 59.90, 0.91
2023/6/21 (Miércoles) 3:40:0, 127.70, 6.77, 785.30, 45.65, 59.90, 0.91
2023/6/21 (Miércoles) 3:45:0, 128.00, 7.16, 840.20, 45.72, 59.90, 0.92
2023/6/21 (Miércoles) 3:50:0, 128.10, 6.83, 794.90, 45.78, 60.00, 0.91
2023/6/21 (Miércoles) 3:55:0, 127.80, 6.86, 795.50, 45.87, 60.00, 0.91
2023/6/21 (Miércoles) 4:0:0, 127.60, 7.48, 878.10, 45.94, 60.00, 0.92
2023/6/21 (Miércoles) 4:5:0, 127.80, 11.06, 1367.00, 46.02, 60.00, 0.97
2023/6/21 (Miércoles) 4:10:0, 128.00, 6.83, 793.20, 46.09, 59.90, 0.91
2023/6/21 (Miércoles) 4:15:0, 127.90, 7.34, 861.80, 46.16, 60.00, 0.92
2023/6/21 (Miércoles) 4:20:0, 127.70, 8.45, 997.80, 46.25, 60.00, 0.92
2023/6/21 (Miércoles) 4:25:0, 128.20, 7.99, 952.30, 46.33, 60.00, 0.93
2023/6/21 (Miércoles) 4:30:0, 127.80, 8.84, 1034.90, 46.42, 60.00, 0.92
2023/6/21 (Miércoles) 4:35:0, 128.20, 8.80, 1032.00, 46.52, 60.00, 0.91
2023/6/21 (Miércoles) 4:45:0, 127.80, 11.92, 1474.50, 46.69, 60.00, 0.97
2023/6/21 (Miércoles) 4:50:0, 128.60, 8.42, 993.90, 46.78, 60.00, 0.92
2023/6/21 (Miércoles) 4:55:0, 128.90, 6.70, 788.80, 46.85, 60.00, 0.91
2023/6/21 (Miércoles) 5:0:0, 128.50, 6.97, 827.60, 46.93, 59.90, 0.92
2023/6/21 (Miércoles) 5:5:0, 128.40, 7.43, 880.80, 47.01, 60.00, 0.92
2023/6/21 (Miércoles) 5:10:0, 128.90, 7.12, 846.90, 47.08, 59.90, 0.92
2023/6/21 (Miércoles) 5:15:0, 128.80, 6.95, 825.70, 47.16, 59.90, 0.92
2023/6/21 (Miércoles) 5:20:0, 127.40, 7.38, 868.20, 47.23, 59.80, 0.92
2023/6/21 (Miércoles) 5:25:0, 127.50, 7.32, 860.10, 47.30, 60.00, 0.92
2023/6/21 (Miércoles) 5:30:0, 127.60, 7.40, 869.90, 47.39, 59.90, 0.92
2023/6/21 (Miércoles) 5:35:0, 128.00, 6.98, 820.30, 47.46, 59.90, 0.92
2023/6/21 (Miércoles) 5:40:0, 127.70, 11.00, 1359.20, 47.54, 60.00, 0.97
2023/6/21 (Miércoles) 5:45:0, 127.30, 7.71, 908.70, 47.62, 60.00, 0.93
2023/6/21 (Miércoles) 5:50:0, 127.30, 7.70, 910.40, 47.69, 60.00, 0.93
2023/6/21 (Miércoles) 5:55:0, 127.80, 8.18, 961.20, 47.79, 59.90, 0.92
2023/6/21 (Miércoles) 6:0:0, 128.10, 8.15, 959.40, 47.87, 60.00, 0.92
2023/6/21 (Miércoles) 6:5:0, 127.40, 8.02, 937.20, 47.95, 59.80, 0.92
2023/6/21 (Miércoles) 6:10:0, 128.00, 8.20, 960.40, 48.04, 60.00, 0.91
2023/6/21 (Miércoles) 6:15:0, 127.60, 8.14, 950.80, 48.12, 60.00, 0.92
2023/6/21 (Miércoles) 6:20:0, 126.80, 11.60, 1423.10, 48.21, 59.90, 0.97
2023/6/21 (Miércoles) 6:25:0, 127.20, 7.66, 896.60, 48.29, 60.00, 0.92
2023/6/21 (Miércoles) 6:30:0, 127.30, 8.52, 982.30, 48.37, 59.90, 0.91
2023/6/21 (Miércoles) 6:35:0, 127.60, 8.02, 936.90, 48.46, 60.00, 0.92
2023/6/21 (Miércoles) 6:40:0, 127.10, 9.14, 1058.20, 48.55, 60.00, 0.91
2023/6/21 (Miércoles) 6:45:0, 126.60, 9.47, 1082.00, 48.64, 60.00, 0.90
2023/6/21 (Miércoles) 6:50:0, 126.40, 8.92, 1029.30, 48.74, 60.00, 0.91
2023/6/21 (Miércoles) 6:55:0, 126.40, 9.00, 1037.60, 48.83, 60.00, 0.91
2023/6/21 (Miércoles) 7:0:0, 126.00, 13.64, 1625.10, 48.93, 60.00, 0.95
2023/6/21 (Miércoles) 7:5:0, 126.90, 9.63, 1092.00, 49.03, 60.00, 0.89
2023/6/21 (Miércoles) 7:10:0, 126.20, 8.94, 1027.10, 49.11, 60.00, 0.91
2023/6/21 (Miércoles) 7:15:0, 126.40, 8.02, 926.30, 49.21, 60.00, 0.91
2023/6/21 (Miércoles) 7:20:0, 126.30, 7.92, 916.20, 49.28, 60.00, 0.92
2023/6/21 (Miércoles) 7:25:0, 126.30, 7.56, 879.40, 49.36, 60.00, 0.92
2023/6/21 (Miércoles) 7:30:0, 125.60, 7.84, 905.00, 49.45, 59.90, 0.92
2023/6/21 (Miércoles) 7:35:0, 125.70, 8.34, 953.30, 49.53, 59.90, 0.91
2023/6/21 (Miércoles) 7:40:0, 125.30, 11.32, 1374.70, 49.61, 59.90, 0.97
2023/6/21 (Miércoles) 7:45:0, 126.00, 7.58, 878.00, 49.69, 60.00, 0.92
2023/6/21 (Miércoles) 7:50:0, 125.30, 8.27, 946.40, 49.77, 59.80, 0.91
2023/6/21 (Miércoles) 7:55:0, 125.60, 7.87, 910.70, 49.86, 60.00, 0.92
2023/6/21 (Miércoles) 8:0:0, 125.90, 8.34, 963.40, 49.94, 60.00, 0.92
2023/6/21 (Miércoles) 8:5:0, 126.50, 8.75, 998.60, 50.02, 59.90, 0.90
2023/6/21 (Miércoles) 8:10:0, 126.60, 8.04, 931.60, 50.12, 60.00, 0.92
2023/6/21 (Miércoles) 8:15:0, 126.70, 9.47, 1118.40, 50.19, 60.00, 0.93
2023/6/21 (Miércoles) 8:20:0, 126.20, 10.04, 1177.20, 50.28, 60.00, 0.93
2023/6/21 (Miércoles) 8:25:0, 125.90, 10.09, 1185.50, 50.40, 60.00, 0.93
2023/6/21 (Miércoles) 8:30:0, 125.20, 10.15, 1189.90, 50.50, 59.90, 0.94
2023/6/21 (Miércoles) 8:35:0, 125.10, 12.53, 1477.20, 50.59, 59.90, 0.94
2023/6/21 (Miércoles) 8:40:0, 125.30, 10.26, 1143.40, 50.69, 60.00, 0.89
2023/6/21 (Miércoles) 8:45:0, 124.80, 12.14, 1356.80, 50.80, 60.00, 0.90
2023/6/21 (Miércoles) 8:50:0, 123.90, 16.79, 1968.40, 50.93, 60.00, 0.95
2023/6/21 (Miércoles) 8:55:0, 124.60, 12.82, 1418.90, 51.05, 60.00, 0.89
2023/6/21 (Miércoles) 9:0:0, 124.00, 12.75, 1411.90, 51.16, 59.90, 0.89
2023/6/21 (Miércoles) 9:5:0, 123.80, 14.16, 1553.40, 51.30, 60.00, 0.89
2023/6/21 (Miércoles) 9:10:0, 123.00, 14.26, 1555.60, 51.43, 60.00, 0.89
2023/6/21 (Miércoles) 9:15:0, 124.60, 14.94, 1648.60, 51.56, 60.00, 0.89
2023/6/21 (Miércoles) 9:20:0, 124.40, 16.44, 1765.20, 51.71, 60.00, 0.86
2023/6/21 (Miércoles) 9:25:0, 124.40, 14.63, 1613.90, 51.84, 60.00, 0.89
2023/6/21 (Miércoles) 9:30:0, 122.80, 25.05, 2922.00, 52.03, 60.00, 0.95
2023/6/21 (Miércoles) 9:35:0, 123.40, 24.73, 2907.00, 52.26, 59.90, 0.95
2023/6/21 (Miércoles) 9:40:0, 124.50, 19.21, 2232.20, 52.47, 60.00, 0.93
2023/6/21 (Miércoles) 9:45:0, 124.90, 16.75, 1932.50, 52.64, 60.00, 0.92
2023/6/21 (Miércoles) 9:50:0, 124.60, 18.99, 2199.70, 52.84, 59.90, 0.93
2023/6/21 (Miércoles) 9:55:0, 124.60, 18.99, 2202.40, 53.03, 60.00, 0.93
2023/6/21 (Miércoles) 10:0:0, 122.90, 24.41, 2851.00, 53.25, 59.90, 0.95
2023/6/21 (Miércoles) 10:5:0, 123.30, 19.95, 2275.60, 53.49, 60.00, 0.92
2023/6/21 (Miércoles) 10:10:0, 124.80, 23.64, 2676.20, 53.71, 59.90, 0.91
2023/6/21 (Miércoles) 10:15:0, 124.30, 25.26, 2953.60, 53.95, 59.90, 0.94
2023/6/21 (Miércoles) 10:20:0, 124.50, 24.67, 2832.40, 54.23, 60.00, 0.92
2023/6/21 (Miércoles) 10:25:0, 124.30, 24.43, 2794.70, 54.48, 60.00, 0.92
2023/6/21 (Miércoles) 10:30:0, 123.30, 29.28, 3409.00, 54.72, 59.90, 0.94
2023/6/21 (Miércoles) 10:35:0, 123.00, 28.01, 3224.90, 55.03, 60.00, 0.94
2023/6/21 (Miércoles) 10:40:0, 121.10, 39.01, 4394.80, 55.35, 59.90, 0.93
2023/6/21 (Miércoles) 10:45:0, 122.30, 27.76, 3167.00, 55.67, 59.90, 0.93
2023/6/21 (Miércoles) 10:50:0, 122.30, 27.86, 3187.60, 55.94, 60.00, 0.94
2023/6/21 (Miércoles) 10:55:0, 122.40, 25.26, 2849.20, 56.19, 60.00, 0.92
2023/6/21 (Miércoles) 11:0:0, 123.50, 29.83, 3450.60, 56.45, 59.80, 0.94
2023/6/21 (Miércoles) 11:5:0, 123.90, 30.57, 3539.70, 56.76, 60.00, 0.93
